trial_id,pair_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.000,0.0,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.100,0.1,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.200,0.2,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.300,0.3,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.400,0.4,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.500,0.5,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.600,0.6,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.700,0.7,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.800,0.8,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,0.900,0.9,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.000,1.0,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.100,1.1,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.200,1.2,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.300,1.3,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.400,1.4,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.500,1.5,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.600,1.6,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.700,1.7,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.800,1.8,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,1.900,1.9,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.000,2.0,command,0.0000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.100,2.1,command,0.0400,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.200,2.2,command,0.0800,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.300,2.3,command,0.1200,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.400,2.4,command,0.1600,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.500,2.5,command,0.2000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.600,2.6,command,0.2400,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.700,2.7,command,0.2800,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.800,2.8,command,0.3200,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,2.900,2.9,command,0.3600,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,3.000,3.0,command,0.4000,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,3.100,3.1,command,0.4400,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,3.200,3.2,command,0.4800,0.0000,0.0000,0.000,0.000,0.000,direct
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,0.4,0.4,3.300,3.3,command,0.5200,0.0000,0.0000,0.000,0.000,0.000,direct
